Cy	ADVgen	ci
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
gros	ADJqua	gros
dans	NOMcom	dan
d'	PRE	de
un	DETndf	un
jayant	NOMcom	jaiant
c'	PROrel	que
om	PROind	on
appeloit	VERcjg	appeler
Goliast	NOMpro	Golïast
,	PONfbl	,
lequel	PROrel	lequel
jayent	VERcjg	joiier
David	NOMpro	David
occist	VERcjg	occire
.	PONfrt	.

Et	CONcoo	et
sachiés	VERcjg	savoir
que	CONsub	que
icellui	DETdem	cil
dent	NOMcom	dent
a	VERcjg	avoir
plus	ADVgen	plus
de	PRE	de
demy	ADJqua	demi
pié	NOMcom	pié
de	PRE	de
long	NOMcom	loin
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
poise	VERcjg	peser
douze	DETcar	douze
livres	NOMcom	livre
:	PONfbl	:
sy	ADVgen	si
ne	ADVneg	ne
vous	PROper	vous
merveillés	VERcjg	merveiller
mie	ADVneg	mie
de	PRE	de
la	DETdef	le
grandeur	NOMcom	grandeur
ne	CONcoo	ne
du	PRE.DETdef	de.le
poix	NOMcom	poil
d'	PRE	de
icelle	DETdem	cil
dent	NOMcom	dent
,	PONfbl	,
car	CONcoo	car
la	DETdef	le
Saincte	ADJqua	saint
Escripture	NOMcom	écriture
fait	VERcjg	faire
mencion	NOMcom	mention
que	CONsub	que
pour	PRE	pour
le	DETdef	le
temps	NOMcom	temps
du	PRE.DETdef	de.le
roy	NOMcom	roi
Saül	NOMpro	Saul
,	PONfbl	,
premier	ADJqua	premier
roy	NOMcom	roi
des	PRE.DETdef	de.le
Hebrieux	NOMpro	Hébreu
,	PONfbl	,
il	PROper	il
avoit	VERcjg	avoir
assemblé	VERppe	assembler
grant	ADJqua	grant
ost	NOMcom	ost
contre	PRE	contre
les	DETdef	le
Philistiens	NOMpro	Philistien
,	PONfbl	,
entre	PRE	entre
lesquelz	PROrel	lequel
estoit	VERcjg	estre
icelluy	PROdem	cil
Goliast	NOMpro	Golïast
qui	PROrel	que
aloit	VERcjg	aler
disant	VERppa	dire
,	PONfbl	,
chascun	DETind	chascun
jour	NOMcom	jour
,	PONfbl	,
et	CONcoo	et
criant	VERppa	crïer
aux	PRE.DETdef	à.le
Ebrieux	NOMpro	Ebrieu
que	CONsub	que
,	PONfbl	,
s'	CONsub	se
il	PROimp	il
y	PROadv	y
avoit	VERcjg	avoir
nul	DETind	nul
Ebrieu	NOMpro	Ebrieu
qui	PROrel	que
vousist	VERcjg	vouloir
combatre	VERinf	combattre
a	PRE	a
lui	PROper	il
,	PONfbl	,
seul	ADJqua	sol
a	PRE	a
seul	ADJqua	sol
,	PONfbl	,
cellui	PROdem	celui
d'	PRE	de
eulx	PROper	eux
qui	PROrel	que
auroit	VERcjg	avoir
victoire	NOMcom	victoire
,	PONfbl	,
l'	DETdef	le
autre	ADJind	autre
partie	NOMcom	partie
seroit	VERcjg	estre
serve	NOMcom	serve
et	CONcoo	et
subjecte	NOMcom	sujete
au	PRE.DETdef	a
vainqueur	NOMcom	veinquëor
.	PONfrt	.

Ainsi	ADVgen	ainsi
aloit	VERcjg	aler
criant	VERppa	crïer
chascun	DETind	chascun
jour	NOMcom	jour
icellui	DETdem	cil
Golias	NOMpro	Golias
entre	PRE	entre
les	DETdef	le
deux	ADJcar	deux
ostz	NOMcom	ost
;	PONfbl	;
mais	CONcoo	mais
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
ot	VERcjg	avoir
ne	CONcoo	ne
le	DETdef	le
roy	NOMcom	roi
Saül	NOMpro	Saul
ne	CONcoo	ne
aultre	DETind	autre
Ebrieu	NOMpro	Ebrieu
qui	PROrel	que
audit	PRE.DETcom	à.ledit
jayant	NOMcom	jaiant
se	PROper	soi
osast	VERcjg	oser
combatre	VERinf	combattre
;	PONfbl	;
et	CONcoo	et
moult	ADVgen	moult
le	PROper	il
doubtoient	VERcjg	douter
pour	PRE	pour
sa	DETpos	son
grant	ADJqua	grant
puissance	NOMcom	poissance
.	PONfrt	.

Il	PROimp	il
avoit	VERcjg	avoir
six	DETcar	six
couldes	NOMcom	coulde
et	CONcoo	et
une	DETndf	un
paulme	NOMcom	paume
de	PRE	de
hault	ADJqua	haut
qui	PROrel	que
font	VERcjg	faire
seize	DETcar	seize
arpens	NOMcom	arpens
a	PRE	a
main	NOMcom	main
.	PONfrt	.

Sa	DETpos	son
cotte	NOMcom	cote
d'	PRE	de
acier	NOMcom	acier
dont	PROrel	dont
il	PROper	il
estoit	VERcjg	estre
armé	VERppe	armer
,	PONfbl	,
pesoit	VERcjg	peser
.Vm	PROcar	minc
.	PONfrt	.

sicles	NOMcom	sicle
,	PONfbl	,
qui	PROrel	que
vallent	VERcjg	valoir
autent	ADVgen	autent
comme	CONsub	comme
.Vm	PROcar	minc
.	PONfrt	.

onces	NOMcom	once
.	PONfrt	.

Le	DETdef	le
fer	NOMcom	fer
de	PRE	de
sa	DETpos	son
lence	NOMcom	lance
pesoit	VERcjg	peser
.VIc	PROcar	cinq
.	PONfrt	.

sicles	NOMcom	sicle
;	PONfbl	;
le	DETdef	le
fust	NOMcom	fust
de	PRE	de
sa	DETpos	son
lence	NOMcom	lance
estoit	VERcjg	estre
aussi	ADVgen	aussi
gros	ADJqua	gros
quasi	ADVgen	quasi
liciatorium	NOMcom	liciatoin
texencium	VERcjg	texir
.	PONfrt	.

David	NOMpro	David
,	PONfbl	,
qui	PROrel	que
adont	ADVgen	adonc
gardoit	VERcjg	garder
les	DETdef	le
bestes	NOMcom	beste
de	PRE	de
Gessé	NOMpro	Gessee
son	DETpos	son
père	NOMcom	père
,	PONfbl	,
et	CONcoo	et
qui	PROrel	que
estoit	VERcjg	estre
le	DETdef	le
plus	ADVgen	plus
jeusne	ADJqua	jeune
de	PRE	de
ses	DETpos	son
freres	NOMcom	frère
qui	PROrel	que
estoient	VERcjg	être
en	PRE	en
l'	DETdef	le
ost	NOMcom	ost
dessusdit	VERppe	dessusdire
,	PONfbl	,
oyt	VERcjg	ouïr
les	DETdef	le
paroles	NOMcom	parole
que	PROrel	que
celluy	DETdem	cil
jayant	NOMcom	jaiant
aloit	VERcjg	aler
disant	VERppa	dire
,	PONfbl	,
comme	CONsub	comme
dit	VERppe	dire
est	VERcjg	estre
.	PONfrt	.

Sy	ADVgen	si
lui	PROper	il
vint	VERcjg	venir
adont	ADVgen	adonc
voulenté	NOMcom	volonté
de	PRE	de
combatre	VERinf	combattre
cellui	DETdem	cil
jayant	NOMcom	jaiant
,	PONfbl	,
dont	PROrel	dont
ses	DETpos	son
freres	NOMcom	frère
et	CONcoo	et
autres	PROind	autre
le	PROper	il
blasmoient	VERcjg	blasmer
tresfort	ADVgen	tresfort
.	PONfrt	.

Sy	ADVgen	si
fut	VERcjg	être
David	NOMpro	David
armé	VERppe	armer
des	PRE.DETdef	de.le
armes	NOMcom	arme
mesmes	ADJind	même
du	PRE.DETdef	de.le
roy	NOMcom	roi
Saül	NOMpro	Saul
;	PONfbl	;
mais	CONcoo	mais
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
n'	ADVneg	ne
en	PROadv	en
estoit	VERcjg	estre
pas	ADVneg	pas
usagés	NOMcom	usage
,	PONfbl	,
ne	ADVneg	ne
lui	PROper	il
furent	VERcjg	estre
pas	ADVneg	pas
aisées	VERppe	aiser
a	PRE	a
porter	VERinf	porter
;	PONfbl	;
sy	ADVgen	si
les	PROper	il
mist	VERcjg	mettre
jus	ADVgen	jus
et	CONcoo	et
print	VERcjg	prendre
son	DETpos	son
baston	NOMcom	baston
dont	PROrel	dont
il	PROper	il
gardoit	VERcjg	garder
ses	DETpos	son
bestes	NOMcom	beste
,	PONfbl	,
et	CONcoo	et
sa	DETpos	son
pennetiere	NOMcom	pennetiere
,	PONfbl	,
et	CONcoo	et
.V	DETcar	cinc
.	PONfrt	.

caillios	NOMcom	caille
dedens	ADVgen	dedans
,	PONfbl	,
et	CONcoo	et
une	DETndf	un
fonde	NOMcom	fonde
en	PRE	en
sa	DETpos	son
main	NOMcom	main
;	PONfbl	;
et	CONcoo	et
en	PRE	en
tel	DETind	tel
estat	NOMcom	état
s'	PROper	soi
alla	VERcjg	aller
combatre	VERinf	combattre
contre	PRE	contre
Golias	NOMpro	Golias
le	DETdef	le
jayant	NOMcom	jaiant
,	PONfbl	,
qui	PROrel	que
moult	ADVgen	moult
ot	VERcjg	avoir
grant	ADJqua	grant
despit	NOMcom	despit
d'	PRE	de
icellui	DETdem	cil
David	NOMpro	David
,	PONfbl	,
quand	CONsub	quand
il	PROper	il
le	PROper	il
vit	VERcjg	vëoir
venir	VERinf	venir
contre	PRE	contre
lui	PROper	il
.	PONfrt	.

Sy	ADVgen	si
l'	PROper	il
ataigny	VERcjg	atteindre
David	NOMpro	David
d'	PRE	de
une	DETndf	un
pierre	NOMcom	piere
ou	PRE.DETdef	en.le
front	NOMcom	front
,	PONfbl	,
dont	PROrel	dont
il	PROper	il
chut	VERcjg	choir
a	PRE	a
terre	NOMcom	terre
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
fin	NOMcom	fin
David	NOMpro	David
lui	PROper	il
coppa	VERcjg	couper
la	DETdef	le
teste	NOMcom	teste
de	PRE	de
son	DETpos	son
espée	NOMcom	épée
mesmes	ADJind	même
:	PONfbl	:
dont	PROrel	dont
les	DETdef	le
Philistiens	NOMpro	Philistien
furent	VERcjg	estre
si	ADVgen	si
esbays	VERppe	esbaïr
qu'	CONsub	que
ils	PROper	il
s'	PROper	soi
en	PROadv	en
fouyrent	VERcjg	fouir
tous	PROind	tous
,	PONfbl	,
et	CONcoo	et
ceulx	PROdem	celui
qui	PROrel	que
ne	ADVneg	ne
porent	VERcjg	pöoir
fouyr	VERinf	fuir
,	PONfbl	,
les	DETdef	le
Ebrieux	NOMpro	Ebrieu
les	PROper	il
chasserent	VERcjg	chasser
,	PONfbl	,
et	CONcoo	et
moult	ADVgen	moult
en	PROadv	en
occistrent	VERcjg	occire
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
le	DETdef	le
vendredi	NOMcom	vendredi
.XIIJe	PROcar	quatorze
.	PONfrt	.

jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
,	PONfbl	,
nous	PROper	nous
alasmes	VERcjg	aler
de	PRE	de
Venise	NOMpro	Venise
a	PRE	a
Padowa	NOMpro	Padwao
par	PRE	par
eaue	NOMcom	eau
,	PONfbl	,
pour	PRE	pour
estre	VERinf	estre
a	PRE	a
ung	DETndf	un
champ	NOMcom	champ
de	PRE	de
bataille	NOMcom	bataille
,	PONfbl	,
qui	PROrel	que
illec	ADVgen	illuec
se	PROper	soi
devoit	VERcjg	devoir
faire	VERinf	faire
de	PRE	de
messire	NOMcom	seignor
Bouciquault	NOMpro	Bouciqual
et	CONcoo	et
de	PRE	de
messire	NOMcom	seignor
Galiache	NOMpro	Galiache
de	PRE	de
Mentowa	NOMpro	Mantoud
;	PONfbl	;
lesquelz	PROrel	lequel
furent	VERcjg	estre
ou	PRE.DETdef	en.le
champ	NOMcom	champ
moult	ADVgen	moult
noblement	ADVgen	noblement
appareilliés	VERppe	appareiller
pour	PRE	pour
combatre	VERinf	combattre
.	PONfrt	.

Mais	CONcoo	mais
monseigneur	NOMcom	monseigneur
de	PRE	de
Padowa	NOMpro	Padwao
,	PONfbl	,
devant	PRE	devant
qui	PROrel	que
ilz	PROper	il
estoient	VERcjg	être
liez	ADJqua	lié
,	PONfbl	,
et	CONcoo	et
monseigneur	NOMcom	monseigneur
de	PRE	de
Mentowa	NOMpro	Mantoud
ne	ADVneg	ne
les	PROper	il
laisserent	VERcjg	laisser
combatre	VERinf	combattre
:	PONfbl	:
ainssois	ADVgen	ainsois
en	PROadv	en
firent	VERcjg	faire
bonne	ADJqua	bon
paix	NOMcom	paix
.	PONfrt	.

A	PRE	a
Padowa	NOMpro	Padwao
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Saint	ADJqua	saint
Anthoine	NOMpro	Antoine
frere	NOMcom	frère
mineur	ADJqua	mineur
,	PONfbl	,
nous	PROper	nous
fut	VERcjg	être
monstré	VERppe	montrer
son	DETpos	son
propre	ADJqua	propre
corps	NOMcom	corps
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
tout	ADVgen	tout
a	PRE	a
plain	ADJqua	plein
,	PONfbl	,
mais	CONcoo	mais
bien	ADVgen	bien
veismes	VERcjg	voir
plusieurs	DETind	plusieurs
os	NOMcom	os
de	PRE	de
ses	DETpos	son
membres	NOMcom	membre
qui	PROrel	que
autres	DETind	autre
fois	NOMcom	fois
ont	VERcjg	avoir
esté	VERppe	être
emblés	VERppe	embler
et	CONcoo	et
qui	PROrel	que
par	PRE	par
miracle	NOMcom	miracle
ont	VERcjg	avoir
esté	VERppe	être
raportés	VERppe	rapporter
:	PONfbl	:
c'	PROdem	ce
est	VERcjg	estre
a	PRE	a
savoir	VERinf	savoir
l'	DETdef	le
un	PROind	un
de	PRE	de
ses	DETpos	son
dois	NOMcom	dois
et	CONcoo	et
le	DETdef	le
charrey	NOMcom	charre
avec	PRE	avec
tous	DETind	tous
les	DETdef	le
dens	NOMcom	dent
dessoubz	ADVgen	dessus
;	PONfbl	;
item	ETR	item
,	PONfbl	,
ung	DETndf	un
verre	NOMcom	verre
qui	PROrel	que
est	VERcjg	estre
assis	VERppe	assëoir
en	PRE	en
argent	NOMcom	argent
pour	PRE	pour
le	DETdef	le
miracle	NOMcom	miracle
dudit	PRE.DETcom	de.ledit
saint	NOMcom	saint
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
oreille	NOMcom	oreille
de	PRE	de
saint	ADJqua	saint
Pol	NOMpro	Paul
l'	DETdef	le
apostre	NOMcom	apostle
;	PONfbl	;
item	ETR	item
,	PONfbl	,
plusieurs	DETind	plusieurs
os	NOMcom	os
de	PRE	de
saint	NOMcom	saint
Laurent	VERcjg	laver
.	PONfrt	.

Apprès	PRE	après
ces	DETdem	ce
choses	NOMcom	chose
,	PONfbl	,
retournasmes	VERcjg	retourner
en	PRE	en
galée	NOMcom	galée
sur	PRE	sur
mer	NOMcom	mer
,	PONfbl	,
le	DETdef	le
dimenche	NOMcom	dimanche
.XXIXe	PROcar	vingt-et-un
.	PONfrt	.

jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
,	PONfbl	,
pour	PRE	pour
passer	VERinf	passer
la	DETdef	le
mer	NOMcom	mer
.	PONfrt	.

Et	CONcoo	et
le	DETdef	le
lundi	NOMcom	lundi
matin	NOMcom	matin
nous	PROper	nous
partismes	VERcjg	partir
du	PRE.DETdef	de.le
port	NOMcom	port
de	PRE	de
Venise	NOMpro	Venise
;	PONfbl	;
sy	ADVgen	si
arrivasmes	VERcjg	arriver
a	PRE	a
Paula	NOMpro	Paul
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
a	PRE	a
cent	DETcar	cent
.M	PROcar	mille
.	PONfrt	.

oultre	PRE	outre
Venise	NOMpro	Venise
,	PONfbl	,
le	DETdef	le
mardi	NOMcom	mardi
ensuivant	VERppa	ensuivre
,	PONfbl	,
darrien	ADJqua	däerrain
jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
.	PONfrt	.

Paula	NOMpro	Paul
est	VERcjg	estre
cité	NOMcom	cité
assés	ADVgen	assez
bonne	ADJqua	bon
;	PONfbl	;
mais	CONcoo	mais
elle	PROper	elle
fut	VERcjg	être
jadis	ADVgen	jadis
meilleur	ADJqua	meilleur
,	PONfbl	,
car	CONcoo	car
elle	PROper	elle
fut	VERcjg	être
destruicte	VERppe	détruire
pour	PRE	pour
le	DETdef	le
temps	NOMcom	temps
de	PRE	de
la	DETdef	le
guerre	NOMcom	guerre
des	PRE.DETdef	de.le
Genevois	NOMpro	Genevois
et	CONcoo	et
des	PRE.DETdef	de.le
Veniciens	NOMpro	Vénitien
.	PONfrt	.

Et	CONcoo	et
dehors	PRE	defors
la	DETdef	le
cité	NOMcom	cité
,	PONfbl	,
devers	PRE	devers
la	DETdef	le
terre	NOMcom	terre
,	PONfbl	,
a	PRE	a
une	DETndf	un
tresbelle	ADJqua	traisbel
fonteine	NOMcom	fontaine
d'	PRE	de
eaue	NOMcom	eau
doulce	ADJqua	doux
devant	PRE	devant
laquelle	PROrel	lequel
a	PRE	a
ung	DETndf	un
tournoyement	NOMcom	tournoyement
,	PONfbl	,
par	PRE	par
lequel	PROrel	lequel
appert	NOMcom	appert
bien	ADVgen	bien
qu'	CONsub	que
il	PROper	il
fut	VERcjg	être
jadis	ADVgen	jadis
moult	ADVgen	moult
bel	ADJqua	bel
et	CONcoo	et
fait	VERppe	faire
de	PRE	de
grant	ADJqua	grant
richesses	NOMcom	richesse
et	CONcoo	et
seignorie	NOMcom	seigneurie
.	PONfrt	.

Et	CONcoo	et
le	PROper	il
fist	VERcjg	faire
faire	VERinf	faire
Rolant	NOMpro	Roland
,	PONfbl	,
si	ADVgen	si
comme	CONsub	comme
l'en	PROind	loin
dit	VERcjg	dire
,	PONfbl	,
et	CONcoo	et
encore	ADVgen	encore
l'	PROper	il
appellent	VERcjg	appeler
aujourd'uy	ADVgen	aujourde
le	DETdef	le
palaix	NOMcom	palais
Rolant	NOMpro	Roland
.	PONfrt	.

Et	CONcoo	et
dehors	ADVgen	defors
ledit	DETcom	ledit
palaix	NOMcom	palais
,	PONfbl	,
vers	PRE	vers
la	DETdef	le
marine	NOMcom	marine
,	PONfbl	,
a	PRE	a
moult	ADVgen	moult
grant	ADJqua	grant
quantité	NOMcom	quantité
de	PRE	de
monumens	NOMcom	monument
de	PRE	de
pierre	NOMcom	piere
entaillée	VERppe	entailler
couvers	VERppe	couvrir
,	PONfbl	,
et	CONcoo	et
sont	VERcjg	estre
sur	PRE	sur
terre	NOMcom	terre
:	PONfbl	:
et	CONcoo	et
y	PROadv	y
en	PROadv	en
peut	VERcjg	pouvoir
bien	ADVgen	bien
avoir	VERinf	avoir
environ	ADVgen	environ
.IIIJc	PROcar	quatre
.	PONfbl	.
;	PONfbl	;
et	CONcoo	et
dedens	PRE	dedans
les	DETdef	le
aucuns	PROind	aucun
voit	VERcjg	vëoir
l'en	PROind	loin
les	DETdef	le
os	NOMcom	os
des	PRE.DETdef	de.le
chrestiens	NOMcom	chrétien
qui	PROrel	que
illec	ADVgen	illuec
furent	VERcjg	estre
mis	VERppe	metre
après	PRE	après
une	DETndf	un
grande	ADJqua	grand
desconfiture	NOMcom	déconfiture
que	PROrel	que
mescreans	VERppa	mécréer
y	PROadv	y
firent	VERcjg	faire
.	PONfrt	.

Plusieurs	PROind	plusieurs
y	PROadv	y
a	VERcjg	avoir
desdits	PRE.DETcom	de.ledit
monumens	NOMcom	monument
que	PROrel	que
l'en	PROind	loin
ne	ADVneg	ne
peut	VERcjg	pouvoir
veoir	VERinf	vëoir
dedans	ADVgen	dedans
,	PONfbl	,
car	CONcoo	car
ilz	PROper	il
sont	VERcjg	estre
trop	ADVgen	trop
couvers	VERppe	couvrir
.	PONfrt	.

La	DETdef	le
cité	NOMcom	cité
de	PRE	de
Paula	NOMpro	Paul
est	VERcjg	estre
soubz	PRE	sous
la	DETdef	le
seignorie	NOMcom	seigneurie
de	PRE	de
Venise	NOMpro	Venise
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
le	DETdef	le
mercredi	NOMcom	mercredi
premier	ADJord	premier
jour	NOMcom	jour
de	PRE	de
septembre	NOMcom	septembre
,	PONfbl	,
partismes	NOMcom	partisme
de	PRE	de
Paula	NOMpro	Paul
,	PONfbl	,
et	CONcoo	et
arrivasmes	VERcjg	arriver
tantost	ADVgen	tantôt
a	PRE	a
une	DETndf	un
petite	ADJqua	petit
isle	NOMcom	île
qui	PROrel	que
a	VERcjg	avoir
nom	NOMcom	nom
Insule	NOMpro	Insule
,	PONfbl	,
tout	ADVgen	tout
près	ADVgen	près
de	PRE	de
Paula	NOMpro	Paul
;	PONfbl	;
et	CONcoo	et
la	PROper	il
fist	VERcjg	faire
on	PROind	on
la	DETdef	le
monstre	NOMcom	montre
des	PRE.DETdef	de.le
marigniers	NOMcom	marignier
devant	PRE	devant
le	DETdef	le
capitaine	NOMcom	capitaine
des	PRE.DETdef	de.le
galées	NOMcom	galée
.	PONfrt	.

Cedit	DETdem	cedit
jour	NOMcom	jour
mesmes	ADJind	même
partismes	VERcjg	partir
d'	PRE	de
illec	ADVgen	illuec
et	CONcoo	et
arrivasmes	VERcjg	arriver
a	PRE	a
Corfo	NOMpro	Corfon
le	DETdef	le
lundi	NOMcom	lundi
ensuivant	VERppa	ensuivre
.VJe	PROcar	six
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
septembre	NOMcom	septembre
.	PONfrt	.

Corfo	NOMpro	Corfon
est	VERcjg	estre
une	DETndf	un
isle	NOMcom	île
qui	PROrel	que
est	VERcjg	estre
soubz	PRE	sous
la	DETdef	le
seignorie	NOMcom	seigneurie
de	PRE	de
Venise	NOMpro	Venise
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
une	DETndf	un
cité	NOMcom	cité
qui	PROrel	que
a	VERcjg	avoir
nom	NOMcom	nom
Corfo	NOMpro	Corfon
,	PONfbl	,
.VJc	PROcar	cinq
.	PONfrt	.

mille	PROcar	mille
oultre	PRE	outre
Paula	NOMpro	Paul
.	PONfrt	.

Entre	PRE	entre
Paula	NOMpro	Paul
et	CONcoo	et
Corfo	NOMpro	Corfon
a	VERcjg	avoir
une	DETndf	un
isle	NOMcom	île
deshabitée	VERppe	deshabiter
que	PROrel	que
l'en	PROind	loin
appelle	VERcjg	appeler
Cazopoly	NOMpro	Cazopoli
.	PONfrt	.

En	PRE	en
laquelle	DETrel	lequel
isle	NOMcom	île
il	PROimp	il
y	PROadv	y
a	VERcjg	avoir
chappelle	NOMcom	chapelle
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
,	PONfbl	,
que	PROrel	que
l'en	PROind	loin
appelle	VERcjg	appeler
Nostre	DETpos	notre
Dame	NOMcom	dame
de	PRE	de
Cazopoly	NOMpro	Cazopoli
.	PONfrt	.

En	PRE	en
laquelle	DETrel	lequel
chappelle	NOMcom	chapelle
,	PONfbl	,
devant	PRE	devant
l'	DETdef	le
ymage	NOMcom	image
,	PONfbl	,
a	PRE	a
une	DETndf	un
lampe	NOMcom	lampe
plaine	ADJqua	plein
d'	PRE	de
uille	NOMcom	huile
;	PONfbl	;
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
ung	DETndf	un
figuier	NOMcom	figuier
devant	PRE	devant
ladite	DETcom	ledit
chappelle	NOMcom	chapelle
dont	PROrel	dont
le	DETdef	le
bois	NOMcom	bois
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
est	VERcjg	estre
mouillés	VERppe	mouiller
en	PRE	en
l'	DETdef	le
uille	NOMcom	huile
d'	PRE	de
icelle	DETdem	cil
lampe	NOMcom	lampe
,	PONfbl	,
guarist	VERcjg	guérir
de	PRE	de
fievres	NOMcom	fièvre
;	PONfbl	;
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
moult	ADVgen	moult
grant	ADJqua	grant
pelerinage	NOMcom	pèlerinage
.	PONfrt	.

Celle	DETdem	cil
isle	NOMcom	île
a	VERcjg	avoir
toute	DETind	tout
deshabitée	NOMcom	deshabité
ung	DETndf	un
serpent	NOMcom	serpent
qui	PROrel	que
y	PROadv	y
est	VERcjg	estre
et	CONcoo	et
n'	ADVneg	ne
y	PROadv	y
laisse	VERcjg	laisser
vivre	VERinf	vivre
nulle	DETind	nul
creature	NOMcom	créature
fors	PRE	fors
ceulx	PROdem	celui
qui	PROrel	que
habittent	VERcjg	habiter
en	PRE	en
ladite	DETcom	ledit
chappelle	NOMcom	chapelle
.	PONfrt	.

Nous	PROper	nous
partismes	VERcjg	partir
de	PRE	de
Corfo	NOMpro	Corfon
le	DETdef	le
mardy	NOMcom	mardi
ensuivant	VERppa	ensuivre
,	PONfbl	,
.VIJe	PROcar	sept
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
septembre	NOMcom	septembre
et	CONcoo	et
vigille	NOMcom	vigile
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
;	PONfbl	;
et	CONcoo	et
errasmes	VERcjg	errer
par	PRE	par
mer	NOMcom	mer
,	PONfbl	,
tant	ADVgen	tant
a	VERcjg	avoir
voille	NOMcom	veille
comme	CONsub	comme
a	PRE	a
rames	NOMcom	rame
,	PONfbl	,
jusques	PRE	jusque
au	PRE.DETdef	a
sabmedy	NOMcom	samedi
ensuivant	VERppa	ensuivre
que	CONsub	que
nous	PROper	nous
arrivasmes	VERcjg	arriver
en	PRE	en
une	DETndf	un
isle	NOMcom	île
qu'	PROrel	que
on	PROind	on
appelle	VERcjg	appeler
Chifornia	NOMpro	Chifornie
.	PONfrt	.

Et	CONcoo	et
arrivasmes	VERcjg	arriver
droit	ADVgen	droit
a	PRE	a
une	DETndf	un
belle	ADJqua	beau
fonteine	NOMcom	fontaine
d'	PRE	de
eaue	NOMcom	eau
doulce	ADJqua	doux
ou	PROrel	où
il	PROimp	il
ot	VERcjg	avoir
jadis	ADVgen	jadis
une	DETndf	un
ville	NOMcom	ville
que	PROrel	que
l'en	PROind	loin
appeloit	VERcjg	appeler
Alexandria	NOMpro	Alexandria
.	PONfrt	.

Illec	ADVgen	illuec
n'	ADVneg	ne
abite	VERcjg	abiter
nulz	PROind	nul
.	PONfrt	.

Mais	CONcoo	mais
assés	ADVgen	assez
tost	ADVgen	tost
apprès	PRE	après
que	CONsub	que
nous	PROper	nous
feusmes	VERcjg	être
illec	ADVgen	illuec
arrivés	VERppe	arriver
,	PONfbl	,
nous	PROper	nous
vindrent	VERcjg	venir
hommes	NOMcom	homme
et	CONcoo	et
femmes	NOMcom	femme
qui	PROrel	que
aporterent	VERcjg	apporter
pain	NOMcom	pain
fretz	NOMcom	frait
,	PONfbl	,
gelines	NOMcom	geline
,	PONfbl	,
raisins	NOMcom	raisin
et	CONcoo	et
autres	DETind	autre
pourveances	NOMcom	pourvoyance
a	PRE	a
vendre	VERinf	vendre
;	PONfbl	;
car	CONcoo	car
icelle	DETdem	cil
isle	NOMcom	île
est	VERcjg	estre
bien	ADVgen	bien
peuplée	VERppe	peupler
et	CONcoo	et
plentureuse	ADJqua	plenturos
de	PRE	de
moult	ADVgen	moult
de	PRE	de
biens	NOMcom	bien
.	PONfrt	.

Illec	ADVgen	illuec
sejournasmes	VERcjg	séjourner
deux	DETcar	deux
jours	NOMcom	jour
,	PONfbl	,
pour	PRE	pour
le	DETdef	le
vent	NOMcom	vent
qui	PROrel	que
nous	PROper	nous
estoit	VERcjg	estre
contraire	ADJqua	contraire
.	PONfrt	.

Le	DETdef	le
dimanche	NOMcom	dimanche
ensuivant	VERppa	ensuivre
,	PONfbl	,
.XIJe	PROcar	douze
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
septembre	NOMcom	septembre
,	PONfbl	,
partismes	VERcjg	partir
d'	PRE	de
icelle	DETdem	cil
fonteine	NOMcom	fontaine
et	CONcoo	et
singlasmes	VERcjg	singler
oultre	ADVgen	outre
.	PONfrt	.

Et	CONcoo	et
le	DETdef	le
mercredi	NOMcom	mercredi
ensuivant	VERppa	ensuivre
,	PONfbl	,
passasmes	VERcjg	passer
par	PRE	par
devant	PRE	devant
Licardia	NOMpro	Licardia
,	PONfbl	,
ung	DETndf	un
bel	ADJqua	bel
chastel	NOMcom	chastel
qui	PROrel	que
siet	VERcjg	sëoir
en	PRE	en
la	DETdef	le
